best_fitness,runtime_ms,vector
3.12485e+010,0,-71.3335 34.5418 66.2616 67.1747 34.9354 -77.7029 53.0298 -42.8787 -7.12118 4.84451 62.3786 80.3998 30.5947 -50.3383 -43.3903 61.9134 -52.0829 75.7304 38.0443 -15.9501 37.7434 4.57132 -81.1451 62.5667 24.8375 -61.0318 -18.3581 13.5836 -14.4482 53.7161
2.99355e+010,0,80.5825 -53.687 -67.0255 -29.3093 -84.7264 -60.0885 11.9332 -83.3996 -35.0618 -16.6863 67.1856 50.9424 -34.7606 -28.9578 33.8281 -15.5883 68.4156 52.8457 48.5149 -59.0916 -27.4628 41.4412 55.6129 -26.4679 13.1442 -36.3996 64.9712 -12.0275 0.636078 35.4624
3.34655e+010,0,83.3347 26.9992 -9.33514 -4.97357 57.5917 67.7054 -65.1766 -57.4209 -30.9056 55.254 22.5629 -4.7059 48.5513 -57.69 69.8518 -59.5788 4.32608 13.2851 45.688 -22.4307 80.8 -38.1865 -65.213 -44.5159 19.4725 21.9766 8.2837 68.3047 -89.6854 -44.8478
3.44101e+010,5.0633,62.8423 49.3696 -79.7552 4.23147 -38.2769 -39.8816 -16.3807 32.1045 -81.0843 79.3853 -80.9187 -27.8421 -30.4861 -40.5996 45.5878 12.612 6.57944 36.4578 -85.7553 16.1885 49.1456 -35.6363 88.3531 -25.9359 -46.4056 57.7999 25.1867 21.9492 22.5859 -1.68588
2.74368e+010,0,-31.4473 30.8704 56.0941 4.68285 -68.2918 -37.2893 -27.1333 -32.6254 -37.2502 -8.04251 52.6872 -62.8274 -58.5867 -88.9592 50.6298 8.04279 -7.17702 44.3624 66.9123 -51.1216 76.1552 64.8173 -23.4065 -27.5029 -65.8591 -55.0061 66.5134 -7.96691 -16.6945 93.5898
3.24836e+010,0.8444,-19.47 82.4859 -11.9251 92.1627 -45.2077 -42.1041 43.0789 -25.3639 25.8053 4.7946 -36.3448 -66.1414 17.628 54.2043 -88.7476 -21.842 -42.5657 31.8069 -63.2706 28.3618 -58.2219 8.73219 61.4971 -51.4635 53.526 -51.8454 66.6856 59.5834 11.7737 42.6259
2.87476e+010,0,58.3113 -89.0409 -5.58624 -63.157 -13.046 8.78131 -41.7007 -35.3811 -39.6996 -19.7973 -49.0781 14.5664 -56.3301 62.082 -9.43351 60.4773 -13.7385 -42.2573 65.8283 22.8045 75.7605 -77.1464 -9.09139 -54.9554 -27.3508 66.1164 31.655 64.6693 50.7927 -92.152
3.7844e+010,0,11.9519 76.2173 -92.4396 31.127 -11.5849 4.02463 37.3257 23.2196 75.5118 -29.139 52.3315 -2.87669 -94.7701 13.2834 32.6304 -16.5568 -79.4645 15.878 58.8262 -16.7985 21.1053 -8.62044 -47.0122 55.2654 82.9222 20.9792 66.3613 -56.5382 -37.8668 -65.121
2.03909e+010,0,25.4044 3.66425 24.178 -19.0748 -74.701 -35.8067 22.0716 -78.9407 -29.712 -38.9804 7.06519 12.7705 -8.97913 2.86755 56.9829 9.5966 37.6981 35.3817 65.5933 -52.3258 61.2273 17.2104 -52.0673 37.6635 49.4823 -75.5788 57.2163 -61.1335 32.2647 89.9124
3.04821e+010,0,73.6964 -12.0998 -57.2952 34.8279 -44.2671 -92.4725 28.1055 37.2866 28.8312 -31.5989 -50.6341 -35.6425 -23.5534 -10.0952 -14.5975 77.5046 -34.4192 -39.7942 -11.08 35.2776 -87.3998 -49.6835 68.1141 11.134 -2.72559 43.7243 -32.7678 -76.9605 -45.0872 93.4358
3.37576e+010,0,-35.2092 50.4529 -90.7888 -13.657 -66.9729 24.3856 -10.3864 10.3428 29.4385 -9.63433 5.14145 0.72583 -5.01108 83.5653 3.67188 -16.1068 -73.3397 -35.3685 -29.8183 25.6677 -4.93634 -46.2187 -65.1241 28.2625 2.7858 -65.9397 -87.5932 61.6714 81.8403 44.5032
2.57835e+010,0,13.6116 13.416 14.8882 -47.5312 5.72749 79.5011 43.6784 78.5081 -23.8538 48.7863 0.609756 -8.51199 19.1274 -58.1653 -45.8622 85.3273 69.8245 -35.8184 -68.6643 -6.23211 27.1747 17.8435 -43.0277 -17.8584 21.6898 62.7224 -68.1706 -46.2247 40.6254 44.4558
